,pid,filename,poet,title,year,poem,poemlength,epoch_year,epoch_poet
190,26162,Klabund_21_1909,Klabund,21,1909,"Die Sanduhr rinnt. Das Licht verbrennt. Man färbt sich den Bart mit Listen. So richt ich denn mein Testament Wie alle guten Christen.Wo ist mein fester Blick? Ich bin Ein Säufer und taumle und stiere. Ich vermache mein Doppel- und Stoppelkinn Meinem Hofbarbiere.Hier dieses Herz: es zuckte und hing An allem Erlauchten und Edeln. Es mag ein fünfzehnjähriges Ding Die Fliegen sich damit wedeln.Hier diese Hand: einst Hieb und Stich Beim Becher und beim Degen - Sie mag versteint und verknöchert sich An eines Bischofs Wange legen.Mein Liebeswerkzeug sei vermacht Der lieben süßen Margot. Sie betet es an um Mitternacht Im fürchterlichsten Argot.Und meinen Haß: ich schenke ihn An jedermann und alle. Sie sollen ihn sich auf Flaschen ziehn Als Gift und grüne Galle.Mein Wappen und mein Rittertum Einem unehlichen Kinde: Es schrei meine Ehre und meinen Ruhm In alle Budiken und Winde.Gegeben Gefängnis Meung sur Loire, Verlaust, wie ein Tier hinter Stäben, Von einem, der einst ein Dichter war In diesem und jenem Leben.",182,Jahrhundertwende,Expressionismus
543,41416,"Trakl, Georg_Das Herz_1900","Trakl, Georg",Das Herz,1900,"Das wilde Herz ward weiß am Wald; O dunkle Angst Des Todes, so das Gold In grauer Wolke starb. Novemberabend. Am kahlen Tor am Schlachthaus stand Der armen Frauen Schar; In jeden Korb Fiel faules Fleisch und Eingeweid; Verfluchte Kost!Des Abends blaue Taube Brachte nicht Versöhnung. Dunkler Trompetenruf Durchfuhr der Ulmen Nasses Goldlaub, Eine zerfetzte Fahne Vom Blute rauchend, Daß in wilder Schwermut Hinlauscht ein Mann. O! ihr ehernen Zeiten Begraben dort im Abendrot.Aus dunklem Hausflur trat Die goldne Gestalt Der Jünglingin Umgeben von bleichen Monden, Herbstlicher Hofstaat, Zerknickten schwarze Tannen Im Nachtsturm, Die steile Festung. O Herz Hinüberschimmernd in schneeige Kühle.",120,Jahrhundertwende,Expressionismus
912,26215,Klabund_Narkissos_1909,Klabund,Narkissos,1909,"Als Narkissos sich Im Teiche spiegelte, Erschrak er: Denn also schön schien ihm das Spiegelbild, Dass er in Liebe zu sich selbst Entzündet wurde. Er beugte sich hernieder Ins Ufergras Und küsste im Wasser Seine Lippen Und griff nach sich mit seinen Händen Und seufzte. Die Schönheit, Sann Narkissos, Wohnt auf dem Grund der Seen. Versunkene Städte müssen sein, In denen die Schönen wohnen Und mittags nur Im Sonnenlicht Werden sie sichtbar, Wird Schönheit Bild, Gesang und Lächeln Glanz und Kuss. Noch niemals sah ich nachts im Teich Den schönen Jüngling. Er schläft zur Dämmerung wohl Wie wir. Und ist ein Mensch Wie wir Nur Mensch der unteren Welt. Du Tiefer steig hinauf! Und werde Du! Wenn das Gymnasion du betrittst, Schweigt rings die Runde. Der Fechter lässt den Degen sinken, Der Ringer Blick und Arm, Und selbst die Greise und die Kinder Erschrecken süss vor deinem Angesicht.",170,Jahrhundertwende,Expressionismus
184,39032,"Sack, Gustav_Die Uhren_1900","Sack, Gustav",Die Uhren,1900,"In weichen Riesenknäueln, darin Traum und tiefer Schlummer brünstig sich umschlangen, durchfloß die Nacht den hochgewölbten Raum; so unaufhaltsam drangen ihre Sammetwogen und so schwer und breit aus einer unerschöpfbaren Unendlichkeit, daß sie die Stadt, die Tages hier gestanden, fortschwemmten in die fernste Ewigkeit und meine Sinne sie nicht wiederfanden, daß mich das Bodenlose ganz umfing und zitternd ich in seinem Brunnen hing – – – da ging ein Schlagen durch die Nacht, von allen Türmen auf und nieder schwatzten die Uhren ihre Stunde wieder, wirr, hastig, auf und ab und ohne Ende zerbrachen sie mir meines Brunnens Wände und riefen: es ist vier! ist vier! ist viere! – Da hab ich meines Schlummers laut gelacht und ihrer, dieser braven Uhrentiere.",138,Jahrhundertwende,Expressionismus
60,10210,"Weissmann, Maria Luise_Nenn ich dich Glück?_1914","Weissmann, Maria Luise",Nenn ich dich Glück?,1914,"Nenn ich dich Glück? Entsetzen? nenn ich dich Heil oder Folter? Ich weiß keinen Namen Zu fassen dich; ich fügte keinen Rahmen Um dich, daraus dein Bild nicht löste sich Und schritt davon. Ich habe dich zu halten Vermocht in keiner einzigen Gestalt. Ich griff mit einer innigen Gewalt Und was ich griff, lächelte schon gespalten...Du bist so weise dich stets zu entwinden Aus meinen Worten, meinem Blick, der Hand, Daß ich schon oft vermeinte dich zu finden, Wenn ich fand",95,Expressionismus,Expressionismus
251,26151,Klabund_10_1909,Klabund,10,1909,"Ich bin von Feuerringen Umkreist zu meiner Not. Ich hör die Vögel singen Im hellen Abendrot. Sie schweben und sie schwärmen Und singen sich zur Ruh. Sie leben und sie lärmen. Wozu?Wir halten uns umfangen In Nacht und Paradies. Die Abendglocken klangen Aus dumpfestem Verließ. Wir wissen unsrer Hände Und Herzen einen Pfad. Wer weiß, wie bald das Ende Uns naht.",72,Jahrhundertwende,Expressionismus
826,26316,Klabund_8._1909,Klabund,8.,1909,"Die Anarchie ist unser Glück. Ich reiss vom Leib mir Stück für Stück.Zuerst den Rock, danach das Hemd – Wie war ich vor mir selber fremd.Ich reiss die Augen aus der Stirn, Sie sollen nicht das Licht verwirrn.Ich zerr an Darm und Samenstrang: Kein neuer Mensch mein Untergang.Ich reisse mir die Haut herab, Es fällt der Plunder von mir ab.",66,Jahrhundertwende,Expressionismus
132,44913,"Heym, Georg_UNTITLED_1899","Heym, Georg",UNTITLED,1899,"Palmyras Tempelstaub bläst auf der Wind, Der durch die Hallen säuselt in der Zeit Des leeren Mittags, wo die Sonne weit Im Blauen rast. Der goldene Atem spinnt,Der goldene Staub des Mittags sich wie Rauch Im Glanz der Wüste, wie ein seidenes Zelt Der ungeheuren Fläche. Dach der Welt. Wie ferne Flöten tönt des Zephirs Hauch,Und leise singt der Sand. Doch unverweilt Jagt hoch das Licht. Damaskus' Rosenduft Schlägt auf wie eine Woge in die Luft, Wie eine Flamme, die den Äther teilt.Der weißen Stiere roter Blutsaft schäumt Auf Tempelhöfen, wo das Volk im Kranz Des Blutes Regen fühlt, und seinen Glanz, Der mit Rubinen ihre Togen säumt.Ein Tänzer tanzt im blauen Mittagsrot Auf weißer Platte, der vom Strahle trank. – Das Licht entflieht. Der Libanon versank, Der Zedern Haus, das sich dem Gotte bot.Und westwärts eilt der Tag. Mit tiefem Gold Ist weit des Westens Wölbung angefüllt: Des Gottes Rundschild, der die Schultern hüllt Des Flüchtigen. Sein blauer Helmbusch rolltDarob im Sturme weit am Horizont, Am Meer, und seiner Inseln Perlenseil. Er eilt dahin, wo schon der Ida steil Mit Eichen tost und dröhnt der Hellespont.Das Stromland fort, dem grünen Abend zu. Wie der Drommete Ton erschallt sein Gang An Ossas Echo. Troas Schilf entlang, In rote Wälder tritt sein Purpurschuh,In Sammetwiesen weich. Dem Feuer nach, Das einst gen Argos flog, tritt machtvoll er Auf Chalkis hin. Darunter rauscht das Meer Hervor aus grüner Grotten Steingemach.Sein Arm, den er auf Meer und Lande streckt, Ragt dunkel auf wie eine Feuersbrunst. Sein Atem füllt das Meer mit schwarzem Dunst, Des weißes Maul die roten Sohlen leckt.Auf Marathon schleppt seines Mantels Saum, Ein violetter Streif, wo schon das Horn Der Muschel stimmt am Strand der Toten vorn Der Sturmgott laut aus weißer Brandung Schaum.Des Rohres rote Fahnen rührt der Wind Von seines Fußes Fittich um am Strand Der fernen Elis, da der Nacht Trabant, Schildknappe Mond, den dunklen Pfad beginnt.",370,Jahrhundertwende,Expressionismus
858,26419,Klabund_Die letzte Kornblume_1909,Klabund,Die letzte Kornblume,1909,"Sie ging, den Weg zu kürzen, übers Feld. Es war gemäht. Die Ähren eingefahren. Die braunen Stoppeln stachen in die Luft, Als hätte sich der Erdgott schlecht rasiert. Sie ging und ging. Und plötzlich traf sie Auf die letzte blaue Blume dieses Sommers. Sie sah die Blume an. Die Blume sie. Und beide dachten (Sofern die Menschen denken können, dachte die Blume...) Dachten ganz das gleiche: Du bist die letzte Blüte dieses Sommers, Du blühst, von lauter totem Gras umgeben. Dich hat der Sensenmann verschont, Damit ein letzter lauer Blütenduft Über die abgestorbene Erde wehe – Sie bückte sich. Und brach die blaue Blume. Sie rupfte alle Blütenblätter einzeln: Er liebt mich – liebt mich nicht – er liebt mich... nicht. – Die blauen Blütenfetzen flatterten Wie Himmelsfetzen über braune Stoppeln. Ihr Auge glänzte feucht – vom Abendtau, Der kühl und silbern auf die Felder fiel Wie aus des Mondes Silberhorn geschüttet.",180,Jahrhundertwende,Expressionismus
588,41415,"Trakl, Georg_UNTITLED_1900","Trakl, Georg",UNTITLED,1900,"Wieder folgend der blauen Klage des Abends Am Hügel hin, am Frühlingsweiher – Als schwebten darüber die Schatten lange Verstorbener, Die Schatten der Kirchenfürsten, edler Frauen – Schon blühen ihre Blumen, die ernsten Veilchen Im Abendgrund, rauscht des blauen Quells Kristallne Woge. So geistlich ergrünen Die Eichen über den vergessenen Pfaden der Toten, Die goldene Wolke über dem Weiher.",67,Jahrhundertwende,Expressionismus
632,10178,"Weissmann, Maria Luise_Robinson schreitet den Zaun eines Geheges ab_1914","Weissmann, Maria Luise",Robinson schreitet den Zaun eines Geheges ab,1914,"Weiß einer sonst, wohin die Zeit ihm schwand? Fand er wie ich sie je versammelt wieder? Dies ist der Zaun um ein betreutes Land. Wie eine Schar von Vögeln ließ sich nieder Mein Leben hier: ein Tag auf jedem Pfahl, Und sie sind aufgereiht zu langen Jahren... O seltsame Verwandlung! Aus der Qual Sinnloser Fron muß ich zuletzt erfahren Ein Glück. Verständlicher um wenig zwar Als jene Last. Jedoch ein Glück. Als zeugte Einst einem Fragenden der Zaun: Er war.",93,Expressionismus,Expressionismus
342,12751,"Lichtenstein, Alfred_In den Abend_1911","Lichtenstein, Alfred",In den Abend,1911,"Aus krummen Nebeln wachsen Köstlichkeiten. Ganz winzge Dinge wurden plötzlich wichtig. Der Himmel ist schon grün und undurchsichtig Dort hinten, wo die blinden Hügel gleiten.Zerlumpte Bäume strolchen in die Ferne. Betrunkne Wiesen drehen sich im Kreise, Und alle Flächen werden grau und weise ... Nur Dörfer hocken leuchtend: rote Sterne –",57,Expressionismus,Expressionismus
188,26235,Klabund_11._1909,Klabund,11.,1909,"Es fällt ein Blatt. Es stürzt ein Baum. Es steht der Mond. Es weht die Nacht. Und über allem Traum und Raum Ist eine Hoffnung sacht erwacht.Sie sucht nach Rast. Ein Falter fast. Sie stäubt dahin, sie glänzt dahin. Und wer die Erde noch gehasst, Betäubt geht und bekränzt er hin.Du, dem das Blut zum Halse stieg, Und der die goldne Sense schwang: Die Stirne neig! Die Kniee bieg! Der Gott geht seinen Donnergang!",89,Jahrhundertwende,Expressionismus
619,26348,Klabund_Bürgerliches Weihnachtsidyll_1909,Klabund,Bürgerliches Weihnachtsidyll,1909,"Was bringt der Weihnachtsmann Emilien? Ein Strauß von Rosmarin und Lilien. Sie geht so fleißig auf den Strich. O Tochter Zions, freue dich!Doch sieh, was wird sie bleich wie Flieder? Vom Himmel hoch, da komm ich nieder. Die Mutter wandelt wie im Traum. O Tannebaum! O Tannebaum!O Kind, was hast du da gemacht? Stille Nacht, heilige Nacht. Leis hat sie ihr ins Ohr gesungen: Mama, es ist ein Reis entsprugen! Papa haut ihr die Fresse breit. O du selige Weihnachtszeit!",103,Jahrhundertwende,Expressionismus
939,43996,"Stramm, August_Sehnen_1894","Stramm, August",Sehnen,1894,Die Hände strecken Starre bebt Erde wächst an Erde Dein Nahen fernt Der Schritt ertrinkt Das Stehen jagt vorüber Ein Blick Hat Ist! Wahnnichtig Icht!,27,Jahrhundertwende,Expressionismus
738,12817,"Lichtenstein, Alfred_Etwa an einen blassen Neuklassiker_1914","Lichtenstein, Alfred",Etwa an einen blassen Neuklassiker,1914,"Du, früher August, fühlst dich jetzt Hellene. Dahin sind Hurenhuld und Schiebetänze, Die Poesie Berliner Äppelkähne Entschwand dir in dem Blau der Griechenlenze.Die Zeiten ändern sich. Der Mann wird reifer, Hübsch licht und weich wird seine saure Seele. Du zwitscherst jetzt mit Macht und vielem Eifer Dein sanftes Lied aus der geölten Kehle.Was du gelernt von Journalisten hast, Umgibst du schön mit klassischen Fassaden. Und mit geschwollnen Segeln an dem Ast, Gelangst du bald zu fetteren Gestaden.Wer trillert nun die imitierte Flöte: Verlogner Shakespeare und erborgter Goethe.",99,Expressionismus,Expressionismus
465,41384,"Trakl, Georg_Entlang_1900","Trakl, Georg",Entlang,1900,"Geschnitten sind Korn und Traube, Der Weiler in Herbst und Ruh. Hammer und Amboß klingt immerzu, Lachen in purpurner Laube.Astern von dunklen Zäunen Bring dem weißen Kind. Sag wie lang wir gestorben sind; Sonne will schwarz erscheinen.Rotes Fischlein im Weiher; Stirn, die sich fürchtig belauscht; Abendwind leise ans Fenster rauscht, Blaues Orgelgeleier.Stern und heimlich Gefunkel Läßt noch einmal aufschaun. Erscheinung der Mutter in Schmerz und Graun; Schwarze Reseden im Dunkel.",82,Jahrhundertwende,Expressionismus
239,50256,"Ball, Hugo_Totentanz 1916_1906","Ball, Hugo",Totentanz 1916,1906,"So sterben wir, so sterben wir, Wir sterben alle Tage, Weil es so gemütlich sich sterben läßt. Morgens noch in Schlaf und Traum Mittags schon dahin. Abends schon zu unterst im Grabe drin.Die Schlacht ist unser Freudenhaus. Von Blut ist unsere Sonne. Tod ist unser Zeichen und Losungswort. Kind und Weib verlassen wir – Was gehen sie uns an? Wenn man sich auf uns nur Verlassen kann.So morden wir, so morden wir. Wir morden alle Tage Unsre Kameraden im Totentanz. Bruder reck dich auf vor mir, Bruder, deine Brust! Bruder, der du fallen und sterben mußt.Wir murren nicht, wir knurren nicht. Wir schweigen alle Tage, Bis sich vom Gelenke das Hüftbein dreht. Hart ist unsere Lagerstatt Trocken unser Brot. Blutig und besudelt der liebe Gott.",147,Jahrhundertwende,Expressionismus
88,26091,Klabund_Manche Dirne in mancher Nacht_1909,Klabund,Manche Dirne in mancher Nacht,1909,"Ich schwebe durch die Nacht Und habe niemand lieb. Ich bin ja frei: mir blieb Noch von der letzten NachtGenug, dem Morgenglühn Ganz unbeschwert vom Männerleib, Ein schenkend Weib Dem Morgenmanne hinzublühn.",37,Jahrhundertwende,Expressionismus
126,26247,Klabund_Die Graubündnerin_1909,Klabund,Die Graubündnerin,1909,Die Wolke hängt sich müde in die Miene Des herbstlich schon ergrauten Tannenwalds. Der Wasserfall gleicht einer Mandoline. Ein roter Vogel zwitschert auf der Balz.Vom Steinbruch tönt ein nagendes Gehämmer. Die Lore fährt mit Felsenfracht zu Tal. Durch dieses Nachmittages Waldesdämmer Gleitet ein papageienhafter Schal.Es zucken matt im Anhauch rauher Winde Die schmalen Schultern der Graubündnerin. Um Hals und Nacken schlingt sich eine Binde Und stützt das fast entfallene Totenkinn.,76,Jahrhundertwende,Expressionismus
676,44901,"Heym, Georg_UNTITLED_1899","Heym, Georg",UNTITLED,1899,"Die Trommeln schallen am Schafott im Kreis, Das wie ein Sarg steht, schwarz mit Tuch verschlagen. Darauf steht der Block. Dabei der offene Schragen Für seinen Leib. Das Fallbeil glitzert weiß.Von vollen Dächern flattern rot Standarten. Die Rufer schrein der Fensterplätze Preis. Im Winter ist es. Doch dem Volk wird heiß, Es drängt sich murrend vor. Man läßt es warten.Da hört man Lärm. Er steigt. Das Schreien braust. Auf seinem Karren kommt Capet, bedreckt, Mit Kot beworfen, und das Haar zerzaust.Man schleift ihn schnell herauf. Er wird gestreckt. Der Kopf liegt auf dem Block. Das Fallbeil saust. Blut speit sein Hals, der fest im Loche steckt.",128,Jahrhundertwende,Expressionismus
728,41368,"Trakl, Georg_Hohenburg_1900","Trakl, Georg",Hohenburg,1900,"Es ist niemand im Haus. Herbst in Zimmern; Mondeshelle Sonate Und das Erwachen am Saum des dämmernden Walds.Immer denkst du das weiße Antlitz des Menschen Ferne dem Getümmel der Zeit; Über ein Träumendes neigt sich gerne grünes Gezweig,Kreuz und Abend; Umfängt den Tönenden mit purpurnen Armen sein Stern, Der zu unbewohnten Fenstern hinaufsteigt.Also zittert im Dunkel der Fremdling, Da er leise die Lider über ein Menschliches aufhebt, Das ferne ist; die Silberstimme des Windes im Hausflur.",87,Jahrhundertwende,Expressionismus
153,21137,"Stadler, Ernst_UNTITLED_1898","Stadler, Ernst",UNTITLED,1898,"Die Letzten, die am Weg die Lust verschmäht; entleert aus allen Gassen der Stadt. In Not und Frost gepaart. Da die Laternen schon in schmutzigem Licht verdämmern, Geht stumm ihr Zug zum Norden, wo aus lichtdurchsungnen Hallen Die Schienenstränge Welt und Schicksal über Winkelqueren hämmern. Tag läßt die scharfen Morgenwinde los. Auffröstelnd raffen Sie ihre Röcke enger. Regen fällt in Fäden. Kaltes graues Licht Entblößt den Trug der Nacht. Geschminkte Wangen klaffen Wie giftige Wunden über eingesunkenem Gesicht. Kein Wort. Die Masken brechen. Lust und Gier sind tot. Nun schleppen Sie ihren Leib wie eine ekle Last in arme Schenken Und kauern regungslos im Kaffeedunst, der über Kellertreppen Aufsteigt – wie Geister, die das Taglicht angefallen – auf den Bänken.",138,Jahrhundertwende,Expressionismus
807,26409,Klabund_Als sie meine Stimme im Radio hörte_1909,Klabund,Als sie meine Stimme im Radio hörte,1909,"Du hörtest meine Stimme wie von fern. Sprach ich von einem andern Stern? Du griffst mit deinen Händen in das Leere, Ob dort ein Leib nicht und ein Lächeln wäre. Kein Leib. Nur Stimme. Lippe nicht. Nur Wort. Und leise legtest du den Hörer fort.",54,Jahrhundertwende,Expressionismus
906,10207,"Weissmann, Maria Luise_Schnee_1914","Weissmann, Maria Luise",Schnee,1914,"Träne des Himmels: der Regen fiel Tödlich wie Schwermut fällt Auf das geliebte zerbrochene Spiel Auf die verwesende Welt.Herbst schon rollte sie schwelgend hinab, Purpurner Untergang, Sanft nun wiegt sie zu Grab Eigener Wehmut Gesang.Da: im silbernen Blitz der Fröste Sieh, Erstarrung fällt, Selige Form; es tanzt im Kristall die erlöste Tanzt die gerettete Welt.",63,Expressionismus,Expressionismus
868,26250,Klabund_Winteranfang_1909,Klabund,Winteranfang,1909,"Alle Welt ist, voll Wind. Der Herbst fallt von den Bäumen. Wir sind In Träumen.Der erste weisse Schnee ... Wer auf ihn tritt, tritt ihn zu Dreck. Ich sehe weg, Weil ich mein Herz seh.",42,Jahrhundertwende,Expressionismus
152,26227,Klabund_UNTITLED_1909,Klabund,UNTITLED,1909,"Ich ging übers Feld und suchte einen Menschen. Ich traf sieben tote Engländer. Ich begab mich in das Dorf. Wollte ein Weib. Liebte eine Ziege.Erhob den Blick und suchte die Sonne. Sie war von Granatennebel umdunkelt. Ich fiel zur Erde. Meine Knie Stiessen auf Eisen und Beton.Gänse schnattern. Zum Teufel: dreht ihnen die Hälse ab! Laternen leuchten. Auslöschen! Mädchen lächeln von unten herauf. Begattet sie Mit Messern oder sonst einem Tod.Den Fliegen reisse man einzeln die Flügel aus. Blende den Hasen und jage ihn ins Feld. Menschen ohne Beine mögen laufen, Wohin immer es ihnen gefällt.Leben wird unerträglich dem Sterbenden. Sonne: ich spei dir in dein goldnes Gesicht Die Eiterfetzen meiner Lunge. Mutter – Warum immer gebärst du Tod!",139,Jahrhundertwende,Expressionismus
309,26277,Klabund_Fannerl_1909,Klabund,Fannerl,1909,"Hab dich doch lieb, Fannerl, Wenn die Sonne steigt.Du duftest wie das Ried. Du bist frisch wie ein Taumorgen. Deine Hände betten mich an deine Brust, Als wäre ich dein Enkelkind.Unten im Gries Fliesst die Isar. Wollen wir Floss fahren Bis ins Meer?Tags ist es kühl bei dir Wie im Schatten der Leutaschklamm. Aber nachts Brennst du wie der Mittag auf den Karwendelsteinen.Wenn der Herbst kommt, Wenn ich weiter muss – Weine nicht, Fannerl.",86,Jahrhundertwende,Expressionismus
221,26332,Klabund_Die Ballade von den Hofsängern_1909,Klabund,Die Ballade von den Hofsängern,1909,"Wir ziehen dahin von Hof zu Hof. Arbeiten? Mensch, wir sind doch nicht dof. Wir singen nicht schön, aber wir singen laut, Daß das Eis in den Dienstmädchenherzen taut.Wir haben nur lausige Fetzen an, Damit unser Elend man sehen kann. Der hat keine Jacke und der kein Hemd, Und dem sind Stiefel und Strümpfe fremd.Wir kriegen Kleider und Stullen viel, Die verkaufen wir abends im Asyl. Ein Schneider lud mitleidig uns zu sich ein, Da schlugen wir ihm den Schädel ein.Wir singen das Lied vom guten Mond Und sind katholisch, wenn es sich lohnt, Auch singen wir völkisch voll und ganz Für'n Sechser Heil dir im Siegerkranz.Unger, Boeger, Ransick, so heißen wir. Auf die Gerechtigkeit sch... wir. Mal muß ja ein jeder in die Gruft Und wir, wir baumeln mal in der Luft.",157,Jahrhundertwende,Expressionismus
864,44658,"Däubler, Theodor_Erfüllung_1905","Däubler, Theodor",Erfüllung,1905,"Perséphone erscheint in Silberschleiern, Um sanfte Mutter schlingt sie zart den Arm, Entdüstert das geweihte Herz von Harm Und sorgt sich, eigne Wiederkunft zu feiern.Die Birnbäume beglücken uns mit Freiern, Das Bauernhaus bejauchzt ein Schwalbenschwarm: Das Frühjahr wurde wahr – sein Herhauch warm; Geliebte Meisen picken sich aus Eiern.Gemüt, bald laß bei Ölbäumen vom Bangen, Zu ihren Silberzweigen blick um Rast! Hier ist kein Weib verstört vorbeigegangen.Wo, Mutter, du dein Feld gesegnet hast, – Weil Kore wiederkam, mit heißen Wangen – Sei, durch Zypressen, ich, zu Ruh erfaßt!",105,Jahrhundertwende,Expressionismus
367,41420,"Trakl, Georg_Die Nacht_1900","Trakl, Georg",Die Nacht,1900,"Dich sing ich wilde Zerklüftung, Im Nachtsturm Aufgetürmtes Gebirge; Ihr grauen Türme Überfließend von höllischen Fratzen, Feurigem Getier, Rauhen Farnen, Fichten, Kristallnen Blumen. Unendliche Qual, Daß du Gott erjagtest Sanfter Geist, Aufseufzend im Wassersturz, In wogenden Föhren.Golden lodern die Feuer Der Völker rings. Über schwärzliche Klippen Stürzt todestrunken Die erglühende Windsbraut, Die blaue Woge Des Gletschers Und es dröhnt Gewaltig die Glocke im Tal: Flammen, Flüche Und die dunklen Spiele der Wollust, Stürmt den Himmel Ein versteinertes Haupt.",94,Jahrhundertwende,Expressionismus
964,41352,"Trakl, Georg_1_1900","Trakl, Georg",1,1900,"Aus braunen Mauern tritt ein Dorf, ein Feld. Ein Hirt verwest auf einem alten Stein. Der Saum des Walds schließt blaue Tiere ein, Das sanfte Laub, das in die Stille fällt.Der Bauern braune Stirnen. Lange tönt Die Abendglocke; schön ist frommer Brauch, Des Heilands schwarzes Haupt im Dornenstrauch, Die kühle Stube, die der Tod versöhnt.Wie bleich die Mütter sind. Die Bläue sinkt Auf Glas und Truh, die stolz ihr Sinn bewahrt; Auch neigt ein weißes Haupt sich hochbejahrt Aufs Enkelkind, das Milch und Sterne trinkt.",100,Jahrhundertwende,Expressionismus
236,12800,"Lichtenstein, Alfred_Frühling_1902","Lichtenstein, Alfred",Frühling,1902,"Alle Männer sind jetzt gierig, Alle Weiber schrein, Ducke dich in deinen Buckel, Bleib allein –",19,Jahrhundertwende,Expressionismus
311,39042,"Sack, Gustav_Der Findlingsblock_1900","Sack, Gustav",Der Findlingsblock,1900,"In weiter Heide auf den Hügelwellen vom Meer der Vorzeit dünend aufgeschlagen, liegt einer der granitenen Gesellen, die einst der Gletscher Strom ins Land getragen.Und ob der Himmel ihn mit Schloßen schlägt, die Sonne brennt, ein Schneewall ihn ummauert, oder ein Waldbrand heulend ihn umfegt, er liegt und ruht, schweigsam und stolz, und dauert.Doch als ich gestern nächtlich vor ihm stand, schien er mir in der Sterne fahlem Licht verwandelt, dieser tote Klumpen Sand in Gottes gramdurchrißnes Angesicht.",89,Jahrhundertwende,Expressionismus
824,26362,Klabund_1._1909,Klabund,1.,1909,"Papa ist heute furchtbar aufgeschwemmt. Er blinzelt müde in die Morgenzeitung. Mama im Morgenrock und ungekämmt, Befaßt sich mit des Kaffees Zubereitung.Dann spricht sie: Anton! Komm! Es wird bald Zeit! Du darfst mir das Büro nicht noch versäumen! – Ich sitz am Tisch in meinem Rosakleid Und will den ganzen Tag in Rosa träumen.",63,Jahrhundertwende,Expressionismus
506,16695,"Engelke, Gerrit_UNTITLED_1913","Engelke, Gerrit",UNTITLED,1913,"Hängt ein Stern in der Nacht, Irgendwo – Irrt ein Herz durch die Nacht – Irgendwo –Saust Wind im Wald, Irgendwo – Eulen-Schuhu hallt Irgendwo –Blüht ein Wunderbaum Irgendwo – In einem Traum – Irgendwo –Hängt ein Stern in der Nacht, Irgendwo – Golden ist der Mond erwacht – Irgendwo –",54,Expressionismus,Expressionismus
747,12811,"Lichtenstein, Alfred_UNTITLED_1910","Lichtenstein, Alfred",UNTITLED,1910,"Ich möchte in Nacht mich bergen, Nackt und scheu, Und um die Glieder Dunkelheit decken Und warmen Glanz ... Ich möchte weit hinter die Hügel der Erde wandern – Tief hinter die gleitenden Meere, Vorbei den singenden Winden ... Dort treff ich die stillen Sterne, Die tragen den Raum durch die Zeit Und wohnen am Tode des Seins, Und zwischen ihnen sind graue, Einsame Dinge ... Welke Bewegung vielleicht Von Welten, die lange verwesten – Verlorener Laut – Wer will das wissen ... Mein blinder Traum wacht fern den Wünschen der Erde.",100,Expressionismus,Expressionismus
375,21148,"Stadler, Ernst_UNTITLED_1898","Stadler, Ernst",UNTITLED,1898,"Ich sah Kinder in langem Zug, paarweis geordnet, vor einem Armenspeisehaus stehen. Sie warteten, wortkarg und müde, bis die Reihe an sie käme, zur Abendmahlzeit zu gehen. Sie waren verdreckt und zerlumpt und drückten sich an die Häuserwände. Kleine Mädchen preßten um blasse Säuglinge die versagenden Hände.Sie standen hungrig und verschüchtert zwischen den aufgehenden Lichtern, Manche trugen dunkle Mäler auf den schmächtigen Gesichtern. Ihr Anzug roch nach Keller, lichtscheuen Stuben, Schelten und Darben, Ihre Körper trugen von Entbehrung und früher Arbeitsfrohn die Narben.Sie warteten: gleich wären die andern fertig, dann würde man sie in den großen Saal treten lassen, Ihnen Brot und Gemüse vorsetzen und die Abendsuppe in den blechernen Tassen. Oh, und dann würde Müdigkeit kommen und ihre verkrümmten Glieder aufschnüren, Und Nacht und guter Schlaf sie zu Schaukelpferden und Zinnsoldaten und in wundersame Puppenstuben führen.",157,Jahrhundertwende,Expressionismus
34,12821,"Lichtenstein, Alfred_4_1902","Lichtenstein, Alfred",4,1902,"Ich habe manchmal Angst: ein Jahr ist lang, Unendlich lang. Und ewig Beineschwingen ... Den ganzen lieben Tag beim Körperkneten Und beim Parademarsch, beim Platzpatronenschießen Die Welt vergessen müssen ... daß man noch am Abend Beim Bier ganz dumpf ist, noch beim Schlafengehn Den schweren Helm auf seiner Stirne spürt – Und in der Nacht von den Sergeanten träumt – –",66,Jahrhundertwende,Expressionismus
